date	state	school	type_school	death	suicide	number_victims	lat	lon
1995-09-12	TN	cypress	K-12	1	0.0	1	35.1670336	-89.9881452
1995-02-02	CA	jordan	K-12	1	0.0	1	33.8711271	-118.1853473
1995-08-29	TX	memorial	K-12	1	0.0	1	27.5144624	-99.4939305
1995-09-14	KS	olathe north	K-12	1	0.0	2	38.8879635	-94.8089834
1995-12-14	MD	oxon hill	K-12	1	0.0	1	38.7978914	-76.99358640000001
1995-11-15	TN	Richland High	K-12	1	0.0	2	35.3767432	-87.0019502
1995-09-30	FL	tavares	K-12	1	0.0	1	28.771111100000002	-81.7411111
1995-11-28	NY	thomas A. edison vocational and technical	K-12	1	0.0	1	40.716491600000005	-73.7987448
1995-01-26	NC	University of North Carolina	College	1	0.0	2	35.910144200000005	-79.04862209999999
1996-02-29	MO	beaumont	K-12	1	0.0	2	38.662551	-90.2220561
1996-09-25	GA	dekalb alternative	K-12	1	0.0	1	33.7992	-84.2011
1996-01-26	TN	east	K-12	1	0.0	1	35.1320343	-89.95397790000001
1996-02-02	WA	frontier	K-12	1	0.0	3	47.1268083	-119.2830774
1996-11-27	CA	highlands	K-12	1	0.0	1	38.6879585	-121.3588409
1996-10-09	AR	jacksonville	K-12	1	0.0	1	34.88814910000001	-92.10236590000001
1996-02-22	GA	jenkins	K-12	1	0.0	1	32.0224784	-81.0829082
1996-01-19	DC	martha a winston educational center	K-12	1	0.0	1	38.8576	-76.9629
1996-09-18	PA	Penn State	College	1	0.0	1	40.5400689	-78.4086255
1996-01-22	IN	Purdue University	College	1	1.0	1	40.4280908	-86.9225102
1996-08-15	CA	San Diego State	College	1	0.0	3	32.7753498	-117.0722245
1996-10-02	PA	smedley	K-12	1	0.0	2	40.0195564	-75.0737845
1996-10-04	CA	st. bernard	K-12	1	0.0	1	33.954178999999996	-118.4336885
1996-10-13	MO	sumner	K-12	1	0.0	1	38.6594956	-90.23955670000001
1996-04-11	AL	talladega	K-12	1	0.0	1	33.4228865	-86.0766373
1997-01-08	NY	a crown hieghts (Wingate High)	K-12	1	0.0	1	41.637315799999996	-73.9379152
1997-02-19	AK	Bethel Regional	K-12	1	0.0	2	60.794289	-161.760864
1997-01-31	OK	Bunche early childhood development center	K12	1	0.0	1	36.193703899999996	-95.9611069
1997-01-27	FL	conniston	K-12	1	0.0	1	26.6772882	-80.0614305
1997-11-13	CA	creekside	K-12	1	0.0	1	38.6126825	-121.39439709999999
1997-12-01	KY	Heath	K-12	1	0.0	3	37.0786654	-88.7933892
1997-10-22	CA	john glenn	K-12	1	1.0	1	33.9086252	-118.0542321
1997-10-01	MS	Pearl	K-12	1	0.0	3	32.2754245	-90.13147559999999
1997-03-17	MI	pershing	K-12	1	0.0	1	42.4322589	-83.064645
1998-09-12	CA	herbert hoover	K-12	1	0.0	1	34.16667329999999	-118.2703534
1998-05-19	TN	Lincoln County	K-12	1	0.0	1	35.1353605	-86.56832840000001
1998-04-24	PA	parker	K-12	1	0.0	1	41.9150556	-80.12061209999999
1998-04-28	CA	philidelphia	K-12	1	0.0	2	34.0327894	-117.7442233
1998-05-01	NY	public school 18	K12	1	0.0	1	42.9108909	-78.8969809
1998-08-03	CA	san bernardino valley college	College	1	1.0	1	34.0871826	-117.3106465
1998-01-13	DC	spingarn	K-12	1	0.0	1	38.902	-76.9719
1998-05-29	FL	stranahan	K-12	1	1.0	1	26.111753399999998	-80.16504599999999
1998-05-21	OR	Thurston High	K-12	1	0.0	4	44.0491667	-122.9247222
1998-05-27	CA	washington	K-12	1	0.0	1	34.171672799999996	-118.14701570000001
1998-03-24	AR	westside	K-12	1	0.0	5	35.8568828	-90.8058559
1999-04-20	CO	columbine	K-12	1	1.0	13	39.6041546	-105.07387390000001
1999-11-19	NM	Deming	K-12	1	0.0	1	32.2686981	-107.7586404
1999-02-11	IL	ombudsman educational center	K-12	1	0.0	1	42.069096	-88.28793
2000-03-10	GA	Beach High	K-12	1	0.0	2	32.0533728	-81.116455
2000-09-05	OH	bidwell porter	K-12	1	1.0	1	38.923689200000005	-82.28931740000002
2000-02-29	MI	Buell Elementary	K-12	1	0.0	1	43.0803045	-83.70551359999999
2000-10-26	NY	bushwick	K-12	1	0.0	2	40.6970473	-73.9118035
2000-05-26	FL	Lake Worth Middle	K-12	1	0.0	1	26.6114572	-80.0653196
