Date;City, State ;School Name ;State;School Type ;Category;Attack;Latitude;Longitude
10 14 2017;Petersburg, VA ;Virginia State University ;VA;College ;Attack on other persons(s) resulting in injury or death;1;37.238461;-77.419872
10 11 2017;Easton, MA ;Stonehill College ;MA;College ;Gun fired unintentionally resulting in injury or death;0;42.059015;-71.080628
10 09 2017;Lubbock, TX ;Texas Tech University ;TX;College ;Attack on other persons(s) resulting in injury or death;1;33.584259;-101.878282
09 30 2017;Commodore, PA ;Purchase Line Elementary School ;PA;K-12 ;Attack on other persons(s) resulting in injury or death;1;40.73511;-78.917244
09 29 2017;Lee's Summit, MO ;Lee's Summit North High School ;MO;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;38.928988;-94.37777
09 20 2017;Mattoon, IL ;Mattoon High School ;IL;K-12 ;Attack on other persons(s) resulting in injury or death;1;39.474343;-88.386141
09 17 2017;Akron, OH ;University of Akron ;OH;College ;Attack on other persons(s) resulting in injury or death;1;41.076655;-81.511339
09 13 2017;Rockford, WA ;Freeman High School ;WA;K-12 ;Attack on other persons(s) resulting in injury or death;1;47.52;-117.196394
09 12 2017;St. Paul, MN ;St. Catherine University ;MN;College ;Gun fired unintentionally resulting in injury or death;0;44.925308;-93.182822
09 08 2017;North Little Rock, AR ;North Little Rock High School ;AR;K-12 ;Attack on other persons(s) resulting in injury or death;1;34.776059;-92.268057
09 08 2017;Columbus, OH ;Columbus Scioto 6-12 ;OH;K-12 ;Gun fired but no one injured;0;39.901527;-82.996806
09 05 2017;Nashville, TN ;Tennessee State University ;TN;College ;Attack on other persons(s) resulting in injury or death;1;36.166822;-86.827582
09 01 2017;College Station, TX ;Texas A&M University ;TX;College ;Attack on other persons(s) resulting in injury or death;1;30.618531;-96.336499
08 17 2017;Lithia Springs, GA ;Lithia Springs High School ;GA;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;33.755571;-84.657863
07 23 2017;Fayetteville, AR ;University of Arkansas ;AR;College ;Attack on other persons(s) resulting in injury or death;1;36.067832;-94.173655
07 21 2017;Spanish Fork, UT ;Spanish Fork High School ;UT;K-12 ;Attack on other persons(s) resulting in injury or death;1;40.111063;-111.66049
07 19 2017;Milwaukee, WI ;Hickman Academy Prepatory School ;WI;K-12 ;Attack on other persons(s) resulting in injury or death;1;43.093845;-87.976546
07 13 2017;Las Vegas, NV ;University of Nevada, Las Vegas ;NV;College ;Gun fired but no one injured;0;36.10852;-115.143171
06 22 2017;Florence, SC ;Wilson High School ;SC;K-12 ;Gun fired unintentionally resulting in injury or death;0;34.219676;-79.731214
06 16 2017;Chicago, IL ;Warren Elementary School ;IL;K-12 ;Attack on other persons(s) resulting in injury or death;1;41.727722;-87.575008
06 05 2017;Fort Wayne, IN ;Ravenscroft Beauty College ;IN;College ;Attack on other persons(s) resulting in injury or death;1;41.121672;-85.046054
05 24 2017;Greensboro, AL ;Greensboro High School ;AL;K-12 ;Gun fired but no one injured;0;32.707962;-87.5883
05 23 2017;Kirbyville, TX ;Kirbyville High School ;TX;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;30.648551;-93.896766
05 15 2017;Moss Bluff, LA ;Moss Bluff Elementary School ;LA;K-12 ;Gun fired unintentionally resulting in injury or death;0;30.299484;-93.203354
05 02 2017;Irving, TX ;North Lake College ;TX;College ;Attack on other persons(s) resulting in injury or death;1;32.871217;-96.967303
